197,2
299,3
303,3
386,3
413,4
452,3
456,1
468,2
471,2
473,3
603,1
615,4
660,4
670,3
788,4
798,2
843,2
1092,1
1094,4
1250,3
1482,2
1650,3
1692,3
1770,5
1905,4
1974,3
2016,5
2152,1
2163,3
2172,3
2332,2
2338,3
2360,3
2430,1
2464,5
2470,4
2482,3
2499,1
2532,3
2554,3
2566,2
3023,2
3161,3
3256,3
3265,3
3274,4
3371,5
3427,2
3610,3
3740,2
3824,4
3903,3
3938,2
3962,3
4355,4
4389,1
4517,1
4570,4
4661,3
4751,2
4802,2
4831,1
4847,2
4904,3
5092,5
5293,2
5363,4
5560,2
5570,1
5663,5
5714,2
5793,2
5856,2
5877,2
5906,3
5924,5
5926,5
5937,2
5946,1
6119,1
6190,3
6201,1
6281,3
6408,3
6424,1
6543,2
6720,3
6872,1
6911,3
6988,2
7010,4
7031,2
7032,1
7034,3
7055,3
7057,5
7152,1
7233,5
7286,1
7404,3
7416,2
7434,4
7493,3
7521,3
7544,2
7545,3
7576,1
7633,3
7673,1
7693,5
7763,4
7917,4
7971,3
8181,1
8327,3
8619,1
8698,2
8832,3
8976,3
9095,1
9254,5
9262,1
9430,2
9461,4
9525,3
9756,1
9780,3
9800,2
9900,3
9929,5
9991,5
10019,4
10190,3
10421,3
10425,3
10426,3
10428,1
10550,1
10620,3
10814,2
10832,5
10996,1
11005,3
11029,3
11164,5
11334,1
11663,2
11840,1
11904,3
11949,5
12096,4
12132,2
12244,3
12342,2
12453,3
12501,4
12591,3
12605,1
12766,2
12785,4
12838,4
13298,3
13359,3
13523,3
13593,3
13990,4
14039,4
14056,2
14097,1
14155,2
14171,3
14216,4
14425,1
14538,1
14550,4
14618,2
14702,1
14742,1
14770,3
14935,4
15048,3
15093,3
15124,3
15182,2
15209,5
15233,4
15422,4
15496,2
15624,4
15800,4
15843,4
16002,4
16052,1
16075,3
16139,4
16169,1
16265,5
16407,4
16459,3
16564,4
16668,3
16740,1
16865,3
17081,4
17088,3
17157,1
17381,5
17498,3
17526,5
17555,3
17743,2
17756,2
17764,4
